허가일자,의료기관명,대표자,종류,설립구분,주소,전화번호
2024-07-29,마음따뜻한방병원,황웅근,한방병원,개인,"충청북도 청주시 상당구 무심동로 22-0 (용암동, 2~4층 (용암동))",043-283-8850
2024-03-22,해오름한방병원,최정호,한방병원,개인,"충청북도 충주시 사천개1길 2-0 (호암동, 5층 (호암동,청보테라스빌딩5,6층))",043-848-2300
2024-03-13,청주탑병원,이형준,병원,개인,"충청북도 청주시 상당구 교서로 1-0, 1~5       층 (영동)",043-900-8875
2024-03-08,경희정한방병원,정종식,한방병원,개인,충청북도 청주시 상당구 무심동로 22-0 (용암동),043-293-7555
2024-02-19,아이쿱요양병원,강세일,요양병원(일반요양병원),재단법인,충청북도 괴산군 칠성면 자연드림길 223-0 (병원동),043-925-0000
2024-01-29,충주미래병원,이민준,병원,개인,"충청북도 충주시 국원대로 99-0 (교현동, 0동 (교현동,미래병원))",043-852-9119
2023-09-08,의료법인 채화의료재단 에이스요양병원,김중기,요양병원(일반요양병원),의료법인,충청북도 충주시 수안보면 조산공원길 9-9 ( ),043-1800-7799
2022-11-29,동현한방병원,김동현,한방병원,개인,"충청북도 청주시 청원구 상당로 282-0 (내덕동, 1,3,4층 (내덕동,태성빌딩))",043-224-2300
2022-09-07,강병원,강동헌,병원,개인,충청북도 청주시 상당구 무심동로 22-0 (용암동),043-288-0200
2022-04-08,채음한방병원,이채은,한방병원,개인,충청북도 청주시 청원구 오창읍 오창대로 412-0,043-1533-0607
2022-04-04,리치한방병원,서정원,한방병원,개인,"충청북도 청주시 상당구 중고개로 137-0 (용암동, 7,8층 (용암동))",043-258-7000
2021-09-17,청주차차한방병원,김가연,한방병원,개인,"충청북도 청주시 흥덕구 사운로 292-0 (운천동, 3~5,7층 (운천동))",043-715-2647
2021-08-31,든든한방병원,최규섭,한방병원,개인,"충청북도 청주시 상당구 2순환로2031번길 6-3 (방서동, 2~5층 (방서동))",043-285-0285
2021-08-05,서울좋은치과병원,유종한,치과병원,개인,"충청북도 청주시 흥덕구 대신로 132-0 (송정동,청주산업단지비즈니스센터)",043-263-7528
2021-06-28,서로손병원,박영조,병원,개인,"충청북도 청주시 청원구 충청대로 98-0 (율량동,한길빌딩)",043-211-0663
2021-06-03,청주필한방병원,염선규,한방병원,개인,"충청북도 청주시 흥덕구 강서로 107-0 (강서동, (강서동))",043-715-2200
2021-05-25,충주위담통합병원,충주시장,병원,공립(시군구립),충청북도 충주시 수안보면 수안보로 129-0,043-846-2220
2021-05-03,이강한방병원,연희경,한방병원,개인,"충청북도 충주시 번영대로 109-0 (연수동, (연수동))",043-855-2010
2021-04-15,웰니스어린이병원,홍대의,병원,개인,"충청북도 청주시 상당구 2순환로2031번길 6-20 (방서동, (방서동))",043-225-7700
2021-04-08,누리요양병원,박경배,요양병원(일반요양병원),개인,충청북도 청주시 흥덕구 오송읍 오송생명로 168-0,043-239-0070
2020-11-26,의료법인가은의료재단 혁신성모병원,유장선,병원,의료법인,충청북도 진천군 덕산읍 자안로 9-0,043-533-1000
2020-10-15,의료법인 라온의료재단 오창호수병원,김충범,병원,의료법인,충청북도 청주시 청원구 오창읍 중심상업1로 54-0,043-214-1004
2020-08-26,의료법인 여덕의료재단 증평요양병원,김형철,요양병원(일반요양병원),의료법인,충청북도 증평군 증평읍 중앙로 114-0,043-760-8886
2020-07-01,의료법인 누가의료재단 속리산요양병원,이은성,요양병원(일반요양병원),의료법인,충청북도 보은군 속리산면 속리산로 701-0 (속리산요양병원),043-934-0100
2020-06-09,의료법인 여덕의료재단 증평병원,최석배,병원,의료법인,충청북도 증평군 증평읍 중앙로 114-0,043-760-8885
2020-03-27,무궁화의료소비자생활협동조합 뉴베스트병원,이상열,병원,의료소비자생활협동조합,충청북도 충주시 사천개1길 2-0 (호암동),043-724-0303
2019-06-24,제천은혜요양병원,우경희,요양병원(일반요양병원),개인,충청북도 제천시 의림대로 17-0 (영천동),043-647-8277
2019-06-01,실버안요양병원,이영준,요양병원(일반요양병원),개인,충청북도 청주시 청원구 오창읍 오창대로 414-0 (실버안노인요양원),043-217-3388
2019-05-03,온누리치과병원,옥순영,치과병원,개인,"충청북도 청주시 서원구 사직대로 160-0, 2         층 201호 (사창동,두진하트리움에덴)",043-266-2875
